File 	 Total number of insects 	 Average area 	 Smaller than 4mm 	 Between 4 and 10mm 	 Larger than 10mm 
IMG_1613.JPG 	 277 	 10 	 202 	 69 	 6
IMG_1614.JPG 	 380 	 11 	 271 	 93 	 16
IMG_1615.JPG 	 366 	 7 	 293 	 68 	 5
IMG_1616.JPG 	 325 	 8 	 245 	 76 	 4
IMG_1617.JPG 	 320 	 7 	 245 	 66 	 9
IMG_1618.JPG 	 286 	 8 	 222 	 58 	 6
IMG_1619.JPG 	 306 	 6 	 247 	 55 	 4
IMG_1620.JPG 	 261 	 6 	 203 	 54 	 4
IMG_1621.JPG 	 356 	 5 	 306 	 44 	 6
IMG_1622.JPG 	 362 	 7 	 279 	 77 	 6
IMG_1623.JPG 	 393 	 7 	 322 	 68 	 3
IMG_1624.JPG 	 376 	 9 	 291 	 74 	 11
IMG_1625.JPG 	 295 	 6 	 229 	 60 	 6
IMG_1626.JPG 	 259 	 8 	 177 	 72 	 10
IMG_1627.JPG 	 257 	 8 	 181 	 71 	 5
IMG_1628.JPG 	 311 	 8 	 240 	 66 	 5
IMG_1629.JPG 	 322 	 7 	 249 	 64 	 9
IMG_1630.JPG 	 344 	 6 	 279 	 60 	 5
IMG_1631.JPG 	 318 	 6 	 240 	 71 	 7
IMG_1632.JPG 	 291 	 7 	 216 	 65 	 10
IMG_1633.JPG 	 317 	 7 	 245 	 66 	 6
IMG_1634.JPG 	 318 	 6 	 232 	 74 	 12
IMG_1635.JPG 	 383 	 9 	 296 	 75 	 12
IMG_1636.JPG 	 335 	 10 	 254 	 75 	 6
IMG_1637.JPG 	 311 	 8 	 232 	 74 	 5
IMG_1638.JPG 	 295 	 9 	 216 	 69 	 10
IMG_1639.JPG 	 328 	 7 	 274 	 49 	 5
IMG_1640.JPG 	 299 	 7 	 227 	 66 	 6
IMG_1641.JPG 	 283 	 10 	 202 	 74 	 7
IMG_1642.JPG 	 277 	 8 	 212 	 58 	 7
IMG_1643.JPG 	 295 	 7 	 223 	 65 	 7
IMG_1644.JPG 	 385 	 8 	 310 	 71 	 4
IMG_1645.JPG 	 368 	 7 	 295 	 67 	 6
IMG_1646.JPG 	 256 	 7 	 198 	 55 	 3
IMG_1647.JPG 	 260 	 7 	 201 	 56 	 3
IMG_1648.JPG 	 194 	 7 	 155 	 36 	 3
IMG_1649.JPG 	 135 	 6 	 104 	 31 	 0
IMG_1650.JPG 	 194 	 8 	 152 	 41 	 1
IMG_1651.JPG 	 246 	 8 	 190 	 55 	 1
IMG_1652.JPG 	 218 	 7 	 175 	 40 	 3
IMG_1653.JPG 	 280 	 5 	 230 	 47 	 3
IMG_1654.JPG 	 246 	 7 	 195 	 49 	 2
IMG_1655.JPG 	 364 	 7 	 284 	 71 	 9
IMG_1656.JPG 	 325 	 6 	 243 	 78 	 4
IMG_1657.JPG 	 323 	 6 	 245 	 73 	 5
IMG_1658.JPG 	 263 	 7 	 194 	 63 	 6
IMG_1659.JPG 	 330 	 8 	 235 	 91 	 4
IMG_1660.JPG 	 426 	 7 	 342 	 76 	 8
IMG_1661.JPG 	 345 	 6 	 237 	 106 	 2
IMG_1662.JPG 	 370 	 5 	 287 	 80 	 3
IMG_1663.JPG 	 387 	 5 	 297 	 85 	 5
IMG_1664.JPG 	 381 	 5 	 313 	 62 	 6
IMG_1665.JPG 	 98 	 7 	 78 	 19 	 1
IMG_1666.JPG 	 96 	 7 	 78 	 17 	 1
IMG_1667.JPG 	 125 	 9 	 97 	 24 	 4
IMG_1668.JPG 	 98 	 10 	 81 	 16 	 1
IMG_1669.JPG 	 86 	 8 	 60 	 26 	 0
IMG_1670.JPG 	 72 	 8 	 55 	 16 	 1
IMG_1671.JPG 	 104 	 6 	 88 	 14 	 2
IMG_1672.JPG 	 138 	 5 	 112 	 25 	 1
IMG_1673.JPG 	 82 	 9 	 66 	 16 	 0
IMG_1674.JPG 	 90 	 6 	 65 	 24 	 1
